CUID,Date,Year,Month,Income Before Taxes,Number of Bedrooms,Number of Bathrooms,State,Urban,People,Adults,65 or Older,Children,Working,Retired,Education,Race,Sex,Renter,Owner,Food-Away,Food-Home,Food-Total,High lead-Food-Away Spending
346096,2017-01-01,2017,1,110408.35088540554,2.0,2.0,Tennessee,1,2,2,0,0,2,0,Some College,White,Mixed Gender,0.0,1.0,1638.349662928322,1211.5282268303142,2849.877889758636,0
346101,2017-01-01,2017,1,131360.855225527,3.0,1.0,California,1,2,2,2,0,2,0,Bachelors,White,Mixed Gender,0.0,1.0,819.2238486185945,1269.2200471555684,2088.443895774163,0
346107,2017-01-01,2017,1,235418.62805647613,2.0,2.0,Pennsylvania,1,2,2,2,0,0,2,Graduate Degree,White,Mixed Gender,1.0,0.0,2164.260214770852,2596.131914636388,4760.392129407239,1
346119,2017-01-01,2017,1,32822.5777944325,4.0,2.0,Kentucky,0,2,2,0,0,0,0,High School,White,Mixed Gender,0.0,1.0,224.99809926848687,2624.977824799013,2849.9759240675,0
346124,2017-01-01,2017,1,180812.1174631645,3.0,2.0,Louisiana,1,4,4,2,0,1,2,Some College,White,Mixed Gender,0.0,1.0,351.9201039840437,1367.2961417084975,1719.2162456925412,0
346131,2017-01-01,2017,1,99130.52468204372,3.0,2.0,Texas,1,5,2,0,3,2,0,High School,White,Mixed Gender,1.0,0.0,1615.370969107087,1799.9847941478954,3415.3557632549823,0
346141,2017-01-01,2017,1,70736.54544375556,3.0,2.0,Florida,1,5,2,0,3,2,0,Graduate Degree,White,Mixed Gender,1.0,0.0,299.99746569131605,1124.9904963424349,1424.9879620337506,0
346177,2017-01-01,2017,1,46856.463120059045,3.0,2.0,Texas,1,4,4,1,0,2,0,Some College,White,Mixed Gender,0.0,1.0,149.99873284565783,917.2999431715236,1067.2986760171814,0
346179,2017-01-01,2017,1,78783.40815079448,1.0,1.0,New York,1,3,2,1,1,2,0,Bachelors,Asian/PI,Mixed Gender,1.0,0.0,374.9968321141437,749.993664228291,1124.9904963424349,0
346183,2017-01-01,2017,1,109965.72156589502,5.0,4.0,Alabama,1,5,2,0,3,2,0,Bachelors,White,Mixed Gender,0.0,1.0,1765.3697019527424,2584.5935505713383,4349.96325252408,1
346187,2017-01-01,2017,1,3346.231548278756,3.0,2.0,Texas,1,2,2,2,0,0,2,Some College,White,Mixed Gender,0.0,1.0,2712.1199584389897,2596.131914636388,5308.251873075377,0
346194,2017-01-01,2017,1,140155.57705365558,3.0,1.0,Wisconsin,1,2,2,0,0,2,0,Some College,White,Mixed Gender,0.0,1.0,789.3940281848243,2803.822467807299,3593.216495992123,0
346201,2017-01-01,2017,1,13832.166234703776,1.0,1.0,Minnesota,1,1,1,0,0,1,0,Some College,White,Male,1.0,0.0,144.21908247998238,414.22726993531705,558.4463524152994,0
346218,2017-01-01,2017,1,69160.83117351888,3.0,2.0,Texas,1,2,1,0,1,1,0,Bachelors,Black,Male,0.0,1.0,599.9949313826306,974.991763496778,1574.9866948794086,0
346237,2017-01-01,2017,1,103993.68379406168,0.0,1.0,District of Columbia,1,1,1,0,0,1,0,Bachelors,White,Male,1.0,0.0,3735.011905347758,983.0461539518074,4718.058059299565,1
346286,2017-01-01,2017,1,116074.92831955584,3.0,1.0,Oregon,1,4,2,0,2,1,0,Bachelors,White,Mixed Gender,0.0,1.0,801.9163025210187,1603.8326050420335,2405.7489075630524,0
346303,2017-01-01,2017,1,12061.648956661693,3.0,2.0,North Carolina,1,4,2,0,2,0,0,High School,Multi or Other Race,Female,1.0,0.0,0.0,1469.987581887449,1469.987581887449,0
346331,2017-01-01,2017,1,115836.09291590333,3.0,2.0,California,1,4,2,0,2,2,0,Bachelors,White,Mixed Gender,0.0,1.0,755.7628462608162,1274.9892291880917,2030.752075448908,0
346361,2017-01-01,2017,1,32275.054547642147,3.0,1.0,Louisiana,1,1,1,0,0,1,0,High School,White,Female,0.0,1.0,0.0,409.6119243092956,409.6119243092956,0
346367,2017-01-01,2017,1,69735.78821667474,3.0,2.0,Pennsylvania,1,3,2,0,1,1,0,Bachelors,White,Mixed Gender,1.0,0.0,1604.4044718437403,3796.12177740165,5400.52624924539,0
346371,2017-01-01,2017,1,38587.1330727453,3.0,1.0,Iowa,1,6,2,0,4,1,0,High School,White,Mixed Gender,1.0,0.0,149.99873284565783,1691.5241719364185,1841.522904782076,0
